Unnamed: 0,cgpa,iq,placement
434,8.3,108.0,1
435,6.59,107.0,0
436,8.45,96.0,1
437,4.84,123.0,0
438,4.46,156.0,1
439,6.43,94.0,0
440,6.96,115.0,0
441,6.46,143.0,0
442,4.02,113.0,0
443,6.39,124.0,0
444,4.93,94.0,0
445,7.3,124.0,0
446,6.94,111.0,0
447,5.37,135.0,0
448,5.88,139.0,0
449,5.23,167.0,0
450,6.42,127.0,0
451,7.65,122.0,1
452,5.32,119.0,0
453,7.1,108.0,0
454,5.86,122.0,0
455,5.55,109.0,0
456,6.37,118.0,0
457,5.26,141.0,0
458,5.84,95.0,0
459,5.06,138.0,0
460,8.86,141.0,1
461,6.54,113.0,0
462,5.66,80.0,0
463,6.76,103.0,0
464,6.37,141.0,0
465,6.23,115.0,0
466,7.24,95.0,0
467,7.41,105.0,0
468,5.86,132.0,0
469,5.81,126.0,0
470,6.17,110.0,0
471,4.0,108.0,0
472,4.68,107.0,0
473,8.14,97.0,0
474,8.47,147.0,1
475,6.2,109.0,0
476,7.19,139.0,0
477,6.87,145.0,0
478,10.0,135.0,0
479,7.84,106.0,0
480,6.35,123.0,0
481,5.35,115.0,0
482,4.57,97.0,0
483,6.74,121.0,0
484,5.59,91.0,0
485,4.79,139.0,0
486,5.72,106.0,0
487,5.2,119.0,0
488,8.52,121.0,1
489,7.56,110.0,1
490,6.49,127.0,0
491,8.28,106.0,0
492,6.59,132.0,1
493,5.47,88.0,0
494,8.33,118.0,1
495,7.15,154.0,1
496,5.26,95.0,0
497,6.27,101.0,0
498,5.45,125.0,0
499,4.84,119.0,0
500,7.61,122.0,1
501,8.79,125.0,1
502,4.82,128.0,0
503,7.18,137.0,1
504,5.72,123.0,0
505,5.92,110.0,0
506,5.79,128.0,0
507,5.46,153.0,0
508,6.56,112.0,0
509,5.5,96.0,0
510,6.82,137.0,0
511,6.44,113.0,0
512,6.21,80.0,0
513,5.41,132.0,0
514,5.81,104.0,0
515,7.41,113.0,1
516,7.1,122.0,0
517,5.33,119.0,0
518,6.62,129.0,0
519,7.4,106.0,1
520,4.5,125.0,0
521,7.15,110.0,1
522,5.7,130.0,0
523,7.18,127.0,0
524,5.58,96.0,0
525,4.33,137.0,0
526,4.55,104.0,0
527,6.56,131.0,0
528,6.81,122.0,1
529,5.41,152.0,1
530,7.27,111.0,1
531,4.51,108.0,0
532,6.42,115.0,0
533,5.05,109.0,0
534,5.72,131.0,0
535,6.56,83.0,0
536,5.47,94.0,0
537,6.04,94.0,0
538,7.71,134.0,0
539,5.81,149.0,0
540,7.5,113.0,0
541,5.14,112.0,0
542,7.14,116.0,1
543,8.23,138.0,1
544,4.0,96.0,0
545,5.54,120.0,0
546,7.19,135.0,1
547,6.26,125.0,0
548,6.95,119.0,0
549,5.78,135.0,0
550,6.6,80.0,0
551,6.31,129.0,1
552,7.9,102.0,1
553,6.81,80.0,0
554,6.91,125.0,0
555,6.01,142.0,1
556,5.91,112.0,0
557,5.98,134.0,0
558,6.97,147.0,1
559,5.99,141.0,0
560,6.85,148.0,0
561,8.99,130.0,1
562,7.55,117.0,0
563,6.11,83.0,0
564,7.94,110.0,1
565,6.01,98.0,0
566,4.05,158.0,0
567,5.29,111.0,0
568,4.26,117.0,0
569,6.08,126.0,1
570,6.52,116.0,1
571,8.51,149.0,1
572,6.89,103.0,0
573,6.24,119.0,1
574,7.5,100.0,1
575,4.0,89.0,0
576,6.78,103.0,0
577,7.43,114.0,0
578,4.73,106.0,0
579,7.87,101.0,0
580,6.91,87.0,0
581,6.0,113.0,0
582,7.26,85.0,0
583,9.22,130.0,1
584,6.72,117.0,0
585,6.8,86.0,0
586,5.95,109.0,1
587,5.48,100.0,0
588,7.5,121.0,0
589,5.47,142.0,1
590,6.59,80.0,0
591,5.93,117.0,0
592,7.07,112.0,0
593,6.9,128.0,0
594,7.75,119.0,0
595,5.89,100.0,0
596,6.18,109.0,0
597,5.33,99.0,0
598,5.97,137.0,0
599,6.95,115.0,0
600,7.41,153.0,0
601,5.39,114.0,0
602,7.54,101.0,0
603,8.13,85.0,1
604,7.0,80.0,0
605,8.75,83.0,1
606,5.57,120.0,0
607,5.01,125.0,0
608,4.37,83.0,0
609,8.3,133.0,1
610,7.29,105.0,0
611,6.43,118.0,1
612,6.84,147.0,0
613,5.15,133.0,0
614,9.43,110.0,0
615,6.66,97.0,0
616,6.63,80.0,0
617,7.37,101.0,0
618,7.08,111.0,0
619,6.77,95.0,0
620,5.55,112.0,0
621,7.07,117.0,0
622,8.76,111.0,0
623,8.11,102.0,1
624,8.41,118.0,0
625,5.89,124.0,0
626,5.31,93.0,0
627,6.35,143.0,1
628,6.57,113.0,1
629,7.81,115.0,1
630,4.47,129.0,0
631,8.34,120.0,1
632,6.31,134.0,0
633,5.99,121.0,0
634,5.29,103.0,1
635,4.51,122.0,0
636,7.49,92.0,1
637,6.59,117.0,0
638,4.95,114.0,0
639,4.95,111.0,0
640,6.1,112.0,0
641,8.5,80.0,0
642,6.19,104.0,0
643,4.7,117.0,0
644,6.21,118.0,0
645,6.17,94.0,0
646,4.0,140.0,0
647,6.43,98.0,0
648,6.22,134.0,0
649,7.34,124.0,1
650,8.72,102.0,0
651,7.85,151.0,1
652,6.18,91.0,0
653,5.17,133.0,0
654,9.59,135.0,1
655,6.57,102.0,0
656,6.52,143.0,0
657,6.47,110.0,0
658,6.74,121.0,0
659,6.33,120.0,0
660,5.81,112.0,0
661,5.84,131.0,0
662,6.46,131.0,0
663,5.85,80.0,1
664,5.64,141.0,0
665,6.63,82.0,0
666,6.19,136.0,1
667,8.3,138.0,1
668,4.0,93.0,0
669,7.81,107.0,1
670,8.0,93.0,0
671,4.01,111.0,0
672,6.09,109.0,0
673,6.05,131.0,1
674,4.81,141.0,0
675,5.57,143.0,1
676,5.17,104.0,0
677,8.6,111.0,1
678,7.62,81.0,0
679,8.03,99.0,0
680,7.37,134.0,1
681,5.15,147.0,0
682,5.87,90.0,0
683,7.09,103.0,0
684,5.03,114.0,0
685,7.36,121.0,1
686,6.21,99.0,0
687,6.05,123.0,0
688,7.35,106.0,0
689,7.03,115.0,0
690,6.07,126.0,0
691,7.89,115.0,1
692,5.2,106.0,0
693,7.24,113.0,0
694,7.21,113.0,0
695,6.13,108.0,0
696,6.89,110.0,1
697,5.0,147.0,0
698,7.61,126.0,1
699,6.28,109.0,0
700,5.87,129.0,0
701,7.76,108.0,1
702,5.65,138.0,1
703,4.81,122.0,0
704,4.63,113.0,0
705,7.23,124.0,1
706,4.96,84.0,0
707,8.61,92.0,1
708,4.0,91.0,0
709,8.54,118.0,0
710,6.75,150.0,0
711,6.38,160.0,1
712,5.85,128.0,0
713,6.98,125.0,0
714,6.45,80.0,0
715,7.82,104.0,1
716,6.64,99.0,0
717,6.68,103.0,0
718,6.06,112.0,0
719,6.43,106.0,1
720,6.87,80.0,0
721,4.45,130.0,0
722,4.88,94.0,0
723,7.39,120.0,0
724,6.71,156.0,1
725,6.28,97.0,0
726,6.52,80.0,0
727,6.92,109.0,1
728,5.85,137.0,0
729,5.57,154.0,0
730,6.74,90.0,0
731,5.33,125.0,0
732,6.99,106.0,1
733,4.46,113.0,0
734,7.73,168.0,1
735,7.07,85.0,0
736,6.81,120.0,1
737,7.68,124.0,1
738,8.5,137.0,1
739,7.72,117.0,0
740,4.29,121.0,0
741,4.96,107.0,0
742,5.75,120.0,0
743,6.53,108.0,0
744,7.12,127.0,1
745,5.63,108.0,0
746,6.72,123.0,0
747,5.59,114.0,0
748,5.77,138.0,0
749,4.81,114.0,0
750,5.39,80.0,0
751,4.88,140.0,0
752,5.33,97.0,0
753,7.76,102.0,0
754,5.36,103.0,0
755,9.66,142.0,1
756,7.09,80.0,0
757,6.72,178.0,1
758,5.47,136.0,1
759,7.34,119.0,1
760,5.81,114.0,0
761,6.65,121.0,0
762,9.57,125.0,1
763,6.38,128.0,0
764,7.88,126.0,0
765,5.66,117.0,0
766,6.46,111.0,0
767,8.62,112.0,1
768,5.75,111.0,0
769,8.67,138.0,1
770,7.35,127.0,0
771,5.83,80.0,0
772,7.26,128.0,0
773,7.67,119.0,1
774,7.25,115.0,0
775,4.62,107.0,0
776,5.63,137.0,1
777,6.2,134.0,0
778,6.41,100.0,0
779,7.24,123.0,1
780,6.71,96.0,0
781,4.9,87.0,0
782,6.96,102.0,0
783,7.23,132.0,0
784,7.17,134.0,0
785,7.8,125.0,1
786,7.5,130.0,0
787,7.05,125.0,1
788,6.42,102.0,0
789,4.51,124.0,0
790,7.02,131.0,0
791,6.75,130.0,1
792,6.83,139.0,1
793,4.97,129.0,0
794,5.2,122.0,0
795,7.76,136.0,0
796,6.45,114.0,0
797,7.32,97.0,0
798,6.53,112.0,0
799,6.54,100.0,0
800,7.63,101.0,0
801,5.88,112.0,0
802,6.62,99.0,0
803,5.95,109.0,0
804,5.98,80.0,0
805,6.13,119.0,0
806,6.77,115.0,1
807,5.93,99.0,0
808,8.01,128.0,1
809,5.43,134.0,1
810,6.28,83.0,0
811,5.97,100.0,0
812,8.24,100.0,1
813,6.74,96.0,0
814,7.74,132.0,1
815,4.72,111.0,0
816,6.82,110.0,0
817,7.57,80.0,0
818,6.6,128.0,0
819,7.78,90.0,0
820,5.88,116.0,0
821,8.19,121.0,1
822,9.26,142.0,1
823,6.06,89.0,0
824,5.97,80.0,0
825,8.24,119.0,0
826,8.4,151.0,1
827,5.87,140.0,1
828,6.0,119.0,0
829,6.16,105.0,0
830,4.89,131.0,0
831,5.4,96.0,0
832,5.3,125.0,0
833,5.58,125.0,1
834,6.46,136.0,0
835,6.78,170.0,1
836,8.36,123.0,1
837,5.3,105.0,0
838,7.68,114.0,1
839,6.24,80.0,0
840,6.44,101.0,0
841,7.31,107.0,1
842,5.15,105.0,0
843,6.96,118.0,1
844,6.7,99.0,0
845,7.09,137.0,1
846,6.85,115.0,0
847,9.45,115.0,1
848,5.73,108.0,0
849,5.86,118.0,0
850,5.75,132.0,0
851,5.83,98.0,0
852,5.74,102.0,0
853,7.93,109.0,1
854,8.2,88.0,0
855,5.82,99.0,0
856,5.5,105.0,0
857,7.07,132.0,0
858,5.84,120.0,0
859,7.26,119.0,1
860,6.74,132.0,0
861,4.68,112.0,0
862,8.36,123.0,1
863,8.66,113.0,0
864,5.76,120.0,0
865,6.03,103.0,0
866,6.84,80.0,0
867,6.9,112.0,0
868,7.29,143.0,1
869,8.91,134.0,1
870,6.29,134.0,0
871,5.54,140.0,0
872,4.84,117.0,0
873,5.62,119.0,0
874,6.46,103.0,0
875,8.65,109.0,1
876,5.88,127.0,0
877,6.77,139.0,1
878,6.48,112.0,0
879,7.93,106.0,1
880,9.53,115.0,1
881,5.86,127.0,0
882,5.91,86.0,0
883,7.75,80.0,0
884,7.32,104.0,0
885,8.72,91.0,1
886,7.2,105.0,0
887,6.07,112.0,0
888,7.21,106.0,0
889,7.83,144.0,1
890,7.48,122.0,1
891,7.11,121.0,0
892,7.78,127.0,1
893,7.9,92.0,0
894,8.16,136.0,1
895,7.28,113.0,0
896,6.3,128.0,1
897,6.68,94.0,0
898,7.95,84.0,0
899,5.52,131.0,0
900,6.94,123.0,0
901,6.03,97.0,0
902,6.53,98.0,0
903,8.03,138.0,1
904,6.73,91.0,0
905,6.56,148.0,1
906,4.87,97.0,0
907,7.4,128.0,0
908,7.27,108.0,1
909,9.1,127.0,1
910,6.13,104.0,0
911,6.76,112.0,0
912,6.8,116.0,1
913,8.39,95.0,0
914,6.39,130.0,0
915,6.83,105.0,0
916,7.23,110.0,0
917,6.72,95.0,0
918,5.96,80.0,0
919,6.73,111.0,1
920,7.79,163.0,1
921,5.27,131.0,0
922,6.66,115.0,0
923,5.66,110.0,0
924,7.93,115.0,1
925,4.67,126.0,0
926,5.83,91.0,0
927,6.95,137.0,0
928,8.38,129.0,1
929,6.42,129.0,1
930,5.83,124.0,1
931,8.76,115.0,0
932,4.76,128.0,0
933,4.0,127.0,0
934,7.03,108.0,1
935,5.9,104.0,0
936,5.27,117.0,0
937,7.35,146.0,1
938,6.79,90.0,0
939,5.82,86.0,0
940,4.96,118.0,0
941,7.55,116.0,0
942,7.28,118.0,0
943,6.38,120.0,1
944,8.72,111.0,0
945,5.22,145.0,1
946,4.67,83.0,0
947,5.67,98.0,0
948,6.45,113.0,0
949,6.79,82.0,0
950,6.21,111.0,0
951,6.92,148.0,1
952,5.0,115.0,0
953,8.23,120.0,1
954,6.4,90.0,0
955,7.84,103.0,0
956,6.91,107.0,0
957,7.05,109.0,0
958,7.18,141.0,1
959,7.04,126.0,0
960,7.27,93.0,0
961,8.09,120.0,0
962,6.74,125.0,0
963,7.35,138.0,0
964,6.39,147.0,0
965,8.23,95.0,1
966,5.69,99.0,0
967,8.66,90.0,1
968,6.45,110.0,0
969,4.78,124.0,1
970,6.65,135.0,0
971,5.68,113.0,0
972,7.51,109.0,1
973,5.72,118.0,1
974,5.96,98.0,0
975,4.23,157.0,0
976,5.96,83.0,0
977,4.0,119.0,1
978,4.6,155.0,0
979,7.41,115.0,0
980,7.44,111.0,1
981,7.01,108.0,1
982,5.34,111.0,0
983,6.44,142.0,1
984,6.5,80.0,0
985,5.11,146.0,0
986,8.3,87.0,1
987,7.55,110.0,0
988,6.23,106.0,0
989,6.53,127.0,0
990,6.75,83.0,0
991,4.05,124.0,0
992,6.2,155.0,1
993,5.68,88.0,0
994,5.3,119.0,0
995,6.16,102.0,0
996,8.66,124.0,1
997,7.27,115.0,1
998,5.81,102.0,0
999,7.19,125.0,0
1000,8.18,151.0,1
1001,7.61,111.0,1
1002,6.57,129.0,0
1003,5.72,89.0,0
1004,7.34,96.0,0
1005,6.97,124.0,0
1006,7.57,145.0,1
1007,7.26,122.0,1
1008,7.76,109.0,0
1009,5.86,115.0,1
1010,8.08,90.0,0
1011,6.74,127.0,0
1012,8.99,133.0,1
1013,5.67,106.0,0
1014,8.58,106.0,0
1015,6.74,120.0,0
1016,5.72,106.0,0
1017,5.92,114.0,0
1018,6.12,157.0,0
1019,7.01,110.0,0
1020,7.13,108.0,0
1021,5.81,102.0,0
1022,6.47,130.0,0
1023,9.07,111.0,1
1024,8.57,102.0,0
1025,7.02,141.0,1
1026,6.55,143.0,1
1027,6.64,103.0,0
1028,7.24,80.0,0
1029,5.27,135.0,0
1030,6.19,101.0,0
1031,4.5,131.0,0
1032,6.98,80.0,0
1033,7.28,133.0,1
1034,5.92,91.0,0
1035,8.39,130.0,1
1036,5.03,115.0,0
1037,4.74,96.0,0
1038,6.77,107.0,0
1039,7.76,129.0,1
1040,8.52,117.0,1
1041,5.95,127.0,0
1042,7.79,155.0,1
1043,6.45,84.0,0
1044,6.29,147.0,1
1045,7.56,117.0,0
1046,7.28,97.0,0
1047,4.61,88.0,0
1048,8.27,111.0,1
1049,8.16,133.0,1
1050,5.75,112.0,0
1051,6.97,145.0,0
1052,7.09,86.0,0
1053,6.81,115.0,0
1054,5.84,90.0,0
1055,5.69,122.0,1
1056,6.47,133.0,1
1057,7.91,107.0,0
1058,7.15,80.0,0
1059,6.06,119.0,0
1060,7.43,124.0,1
1061,4.0,123.0,0
1062,7.88,140.0,1
1063,4.41,94.0,0
1064,6.07,129.0,0
1065,5.16,139.0,0
1066,4.95,80.0,0
1067,7.89,121.0,1
1068,5.94,105.0,0
1069,6.92,113.0,0
1070,6.44,122.0,1
1071,7.07,105.0,0
1072,6.59,101.0,0
1073,4.96,116.0,0
1074,7.7,93.0,0
1075,5.91,93.0,0
1076,4.63,129.0,0
1077,5.99,92.0,0
1078,8.3,128.0,1
1079,7.52,124.0,1
1080,6.08,80.0,0
1081,6.08,101.0,0
1082,6.11,139.0,0
1083,8.99,95.0,1
1084,6.96,106.0,0
1085,7.02,124.0,0
1086,7.74,131.0,1
1087,6.79,110.0,0
1088,6.19,103.0,0
1089,6.26,143.0,0
1090,6.41,150.0,0
1091,6.46,135.0,0
1092,7.37,117.0,1
1093,6.56,99.0,1
1094,7.38,98.0,0
1095,6.4,125.0,1
1096,6.59,123.0,1
1097,4.1,143.0,0
1098,7.6,128.0,1
1099,6.92,85.0,1
1100,7.7,136.0,1
1101,4.0,95.0,0
1102,9.01,107.0,1
1103,6.33,120.0,0
1104,7.83,155.0,1
1105,5.25,177.0,0
1106,7.24,127.0,1
1107,5.24,111.0,0
1108,5.75,126.0,0
1109,8.8,133.0,1
1110,6.27,109.0,0
1111,6.76,151.0,0
1112,7.54,120.0,1
1113,7.09,125.0,0
1114,6.68,128.0,1
1115,6.94,123.0,1
1116,9.38,132.0,1
1117,6.43,103.0,0
1118,6.74,104.0,0
1119,7.76,93.0,0
1120,7.83,124.0,1
1121,7.92,131.0,0
1122,7.27,124.0,0
1123,5.13,148.0,1
1124,8.46,115.0,1
1125,5.12,128.0,0
1126,6.86,93.0,0
1127,5.59,107.0,0
1128,6.42,129.0,0
1129,6.89,132.0,0
1130,6.89,109.0,1
1131,7.01,114.0,1
1132,8.44,85.0,0
1133,7.04,108.0,0
1134,6.21,133.0,1
1135,7.66,127.0,1
1136,7.93,125.0,1
1137,5.03,116.0,0
1138,7.22,115.0,0
1139,7.34,102.0,0
1140,6.14,129.0,0
1141,8.15,123.0,1
1142,6.32,125.0,0
1143,6.65,104.0,1
1144,6.29,80.0,0
1145,6.52,137.0,1
1146,5.18,105.0,0
1147,4.77,98.0,0
1148,8.41,129.0,1
1149,5.48,107.0,0
